Language,Field,Value
fr-FR,ProductName,"Shuttle/Cup"
fr-FR,ShortDescription,"Organisez et arbitrez vos tournois de badminton : planning automatique, scores live, classements et impression, 100 % local et sans abonnement."
fr-FR,Description,"Shuttle/Cup est l'application de bureau gratuite et open source pour organiser, planifier et arbitrer les tournois de badminton en club. Créez votre tournoi en quelques étapes, inscrivez les joueurs depuis votre registre et générez automatiquement les matchs selon le format choisi.\n\nFonctionnalités principales :\n- Formats multiples : round robin, poules + tableau final, élimination directe, double élimination et américano.\n- Planning automatique : génération des matchs, réorganisation de l'ordre, affectation des terrains et ajout manuel de matchs.\n- Vue arbitre live : scoreboard plein écran, saisie des scores en temps réel et raccourcis clavier A/B pour marquer, Z pour annuler et Espace pour mettre en pause.\n- Classements en temps réel : victoires, défaites, sets et points recalculés à chaque score validé.\n- Registre des joueurs : niveau, catégorie, numéro de dossard et genre, avec inscription rapide dans les tournois.\n- Doubles et mixtes : composition des paires et gestion des catégories SH, SD, DH, DD et DX.\n- Multi-fenêtres : ouvrez la vue arbitre sur un second écran tout en gardant le planning visible.\n- Export et impression : résultats, podium, classement, matchs et participants en format A4.\n\nShuttle/Cup fonctionne hors ligne. Vos données restent sur votre machine : aucun compte, aucun cloud et aucun abonnement. Le logiciel est distribué sous licence GNU AGPL v3.\n\nSite officiel : https://shuttle.cup.alexisandcom.fr/\nCode source : https://github.com/Pioupiou44/SHUTTLE-CUP"
fr-FR,Features,"Planning automatique|Arbitrage et scores en temps réel|Classements recalculés à chaque score|Registre des joueurs|Export et impression A4|Fonctionnement hors ligne|Open source sous GNU AGPL v3"
fr-FR,Keywords,"badminton; tournoi; arbitrage; score; classement; club; planning"
fr-FR,Category,"Sports"
fr-FR,Subcategory,"Sports management"
fr-FR,WebsiteUrl,"https://shuttle.cup.alexisandcom.fr/"
fr-FR,SupportUrl,"https://shuttle.cup.alexisandcom.fr/"
fr-FR,PrivacyUrl,"https://shuttle.cup.alexisandcom.fr/mentions-legales.html"
fr-FR,ReleaseNotes,"Version 1.0.2 : modèle Championnat officiel avec priorité à la règle BWF 3x15, sélection des modèles fiabilisée et interface synchronisée."
fr-FR,Copyright,"© 2026 Alexis Priou — Shuttle/Cup"
fr-FR,License,"GNU Affero General Public License v3 (AGPL-3.0)"
fr-FR,Publisher,"Alexis & Com"
fr-FR,MinimumOS,"Windows 10"
fr-FR,Architecture,"x64"
fr-FR,OfflineSupport,"true"
fr-FR,RequiresAccount,"false"
fr-FR,RequiresSubscription,"false"
fr-FR,DataStorage,"Local uniquement sur la machine de l'utilisateur"
fr-FR,ContactEmail,"contact@alexisandcom.fr"
